Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,Origin Model,,
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US,US 70,,-0.430085805
Buick Skylark 320,15,8,350,165,3693,11.5,70,US,US 70,,
Plymouth Satellite,18,8,318,150,3436,11,70,US,US 70,,
AMC Rebel SST,16,8,304,150,3433,12,70,US,US 70,,
Ford Torino,17,8,302,140,3449,10.5,70,US,US 70,,
Ford Galaxie 500,15,8,429,198,4341,10,70,US,US 70,,
Chevrolet Impala,14,8,454,220,4354,9,70,US,US 70,,
Plymouth Fury iii,14,8,440,215,4312,8.5,70,US,US 70,,
Pontiac Catalina,14,8,455,225,4425,10,70,US,US 70,,
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US,US 70,,
Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe,Europe 70,,
Chevrolet Chevelle Concours (sw),0,8,350,165,4142,11.5,70,US,US 70,,
Ford Torino (sw),0,8,351,153,4034,11,70,US,US 70,,
Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US,US 70,,
AMC Rebel SST (sw),0,8,360,175,3850,11,70,US,US 70,,
Dodge Challenger SE,15,8,383,170,3563,10,70,US,US 70,,
Plymouth 'Cuda 340,14,8,340,160,3609,8,70,US,US 70,,
Ford Mustang Boss 302,0,8,302,140,3353,8,70,US,US 70,,
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US,US 70,,
Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US,US 70,,
Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan,Japan 70,,
Plymouth Duster,22,6,198,95,2833,15.5,70,US,US 70,,
AMC Hornet,18,6,199,97,2774,15.5,70,US,US 70,,
Ford Maverick,21,6,200,85,2587,16,70,US,US 70,,
Datsun PL510,27,4,97,88,2130,14.5,70,Japan,Japan 70,,
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe,Europe 70,,
Peugeot 504,25,4,110,87,2672,17.5,70,Europe,Europe 70,,
Audi 100 LS,24,4,107,90,2430,14.5,70,Europe,Europe 70,,
Saab 99e,25,4,104,95,2375,17.5,70,Europe,Europe 70,,
BMW 2002,26,4,121,113,2234,12.5,70,Europe,Europe 70,,
AMC Gremlin,21,6,199,90,2648,15,70,US,US 70,,
Ford F250,10,8,360,215,4615,14,70,US,US 70,,
Chevy C20,10,8,307,200,4376,15,70,US,US 70,,
Dodge D200,11,8,318,210,4382,13.5,70,US,US 70,,
Hi 1200D,9,8,304,193,4732,18.5,70,US,US 70,,
Datsun PL510,27,4,97,88,2130,14.5,71,Japan,Japan 71,,
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,US,US 71,,
Toyota Corolla,25,4,113,95,2228,14,71,Japan,Japan 71,,
Ford Pinto,25,4,98,0,2046,19,71,US,US 71,,
